entry_time,exit_time,entry_action,exit_action,entry_price,exit_price,pnl,cum_pnl,cum_max,drawdown
2025-07-25 09:27:00+05:30,2025-07-25 09:35:00+05:30,BUY,SELL,24943.0,24962.5,19.5,19.5,19.5,0.0
2025-07-25 09:35:00+05:30,2025-07-25 09:38:00+05:30,SELL,BUY,24962.5,24978.15,-15.65,3.85,19.5,-15.65
2025-07-25 09:38:00+05:30,2025-07-25 09:41:00+05:30,BUY,SELL,24978.15,24947.65,-30.5,-26.65,19.5,-46.15
2025-07-25 09:41:00+05:30,2025-07-25 09:53:00+05:30,SELL,BUY,24947.65,24930.3,17.35,-9.3,19.5,-28.8
2025-07-25 09:53:00+05:30,2025-07-25 09:54:00+05:30,BUY,SELL,24930.3,24923.1,-7.2,-16.5,19.5,-36.0
2025-07-25 09:54:00+05:30,2025-07-25 09:56:00+05:30,SELL,BUY,24923.1,24941.85,-18.75,-35.25,19.5,-54.75
2025-07-25 09:56:00+05:30,2025-07-25 09:59:00+05:30,BUY,SELL,24941.85,24928.55,-13.3,-48.55,19.5,-68.05
2025-07-25 09:59:00+05:30,2025-07-25 10:03:00+05:30,SELL,BUY,24928.55,24937.15,-8.6,-57.15,19.5,-76.65
2025-07-25 10:03:00+05:30,2025-07-25 10:05:00+05:30,BUY,SELL,24937.15,24922.6,-14.55,-71.7,19.5,-91.2
2025-07-25 10:05:00+05:30,2025-07-25 10:43:00+05:30,SELL,BUY,24922.6,24866.35,56.25,-15.45,19.5,-34.95
2025-07-25 10:43:00+05:30,2025-07-25 10:54:00+05:30,BUY,SELL,24866.35,24862.3,-4.05,-19.5,19.5,-39.0
2025-07-25 10:54:00+05:30,2025-07-25 11:00:00+05:30,SELL,BUY,24862.3,24875.0,-12.7,-32.2,19.5,-51.7
2025-07-25 11:00:00+05:30,2025-07-25 11:11:00+05:30,BUY,SELL,24875.0,24870.15,-4.85,-37.05,19.5,-56.55
2025-07-25 11:11:00+05:30,2025-07-25 11:20:00+05:30,SELL,BUY,24870.15,24883.05,-12.9,-49.95,19.5,-69.45
2025-07-25 11:20:00+05:30,2025-07-25 11:34:00+05:30,BUY,SELL,24883.05,24872.45,-10.6,-60.55,19.5,-80.05
2025-07-25 11:34:00+05:30,2025-07-25 11:56:00+05:30,SELL,BUY,24872.45,24845.15,27.3,-33.25,19.5,-52.75
2025-07-25 11:56:00+05:30,2025-07-25 12:00:00+05:30,BUY,SELL,24845.15,24839.65,-5.5,-38.75,19.5,-58.25
2025-07-25 12:00:00+05:30,2025-07-25 12:05:00+05:30,SELL,BUY,24839.65,24848.15,-8.5,-47.25,19.5,-66.75
2025-07-25 12:05:00+05:30,2025-07-25 12:09:00+05:30,BUY,SELL,24848.15,24834.85,-13.3,-60.55,19.5,-80.05
2025-07-25 12:09:00+05:30,2025-07-25 12:13:00+05:30,SELL,BUY,24834.85,24843.65,-8.8,-69.35,19.5,-88.85
2025-07-25 12:13:00+05:30,2025-07-25 12:16:00+05:30,BUY,SELL,24843.65,24836.15,-7.5,-76.85,19.5,-96.35
2025-07-25 12:16:00+05:30,2025-07-25 12:30:00+05:30,SELL,BUY,24836.15,24832.15,4.0,-72.85,19.5,-92.35
2025-07-25 12:30:00+05:30,2025-07-25 12:52:00+05:30,BUY,SELL,24832.15,24861.75,29.6,-43.25,19.5,-62.75
