time,pnl,atp,lowest_retracement_pct
2025-07-25 12:16:00+05:30,0.0,0.0,0.0
2025-07-25 12:17:00+05:30,-3.35,0.0,0.0
2025-07-25 12:18:00+05:30,2.45,2.45,0.0
2025-07-25 12:19:00+05:30,4.15,4.15,0.0
2025-07-25 12:20:00+05:30,3.25,4.15,21.69
2025-07-25 12:21:00+05:30,10.75,10.75,0.0
2025-07-25 12:22:00+05:30,11.2,11.2,0.0
2025-07-25 12:23:00+05:30,15.7,15.7,0.0
2025-07-25 12:24:00+05:30,11.6,15.7,26.11
2025-07-25 12:25:00+05:30,13.9,15.7,26.11
2025-07-25 12:26:00+05:30,17.4,17.4,0.0
2025-07-25 12:27:00+05:30,16.85,17.4,3.16
2025-07-25 12:28:00+05:30,12.8,17.4,26.44
2025-07-25 12:29:00+05:30,7.8,17.4,55.17
2025-07-25 12:30:00+05:30,4.0,17.4,77.01
